#
# The copyright to the intellectual property of this file is held by www.climatedata.info
# Title,"Temperature, CO2 and Milankovitch cycles - Vostok"
# Source: http://www.ncdc.noaa.gov/paleo/indexice.html
# Source: http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/
#
BP,Temp
-343000,-6.602
-342900,-6.592
-342800,-6.545
-342700,-6.489
-342600,-6.432
-342500,-6.376
-342400,-6.32
-342300,-6.307
-342200,-6.294
-342100,-6.282
-342000,-6.269
-341900,-6.263
-341800,-6.274
-341700,-6.285
-341600,-6.295
-341500,-6.306
-341400,-6.384
-341300,-6.503
-341200,-6.622
-341100,-6.742
-341000,-6.861
-340900,-6.975
-340800,-7.089
-340700,-7.202
-340600,-7.315
-340500,-7.429
-340400,-7.384
-340300,-7.321
-340200,-7.259
-340100,-7.197
-340000,-7.134
-339900,-7.101
-339800,-7.071
-339700,-7.04
-339600,-7.009
-339500,-6.984
-339400,-7.07
-339300,-7.156
-339200,-7.241
-339100,-7.327
-339000,-7.397
-338900,-7.377
-338800,-7.356
-338700,-7.336
-338600,-7.316
-338500,-7.294
-338400,-7.265
-338300,-7.237
-338200,-7.208
-338100,-7.179
-338000,-7.178
-337900,-7.231
-337800,-7.284
-337700,-7.337
-337600,-7.39
-337500,-7.409
-337400,-7.385
-337300,-7.36
-337200,-7.336
-337100,-7.311
-337000,-7.315
-336900,-7.341
-336800,-7.368
-336700,-7.395
-336600,-7.421
-336500,-7.409
-336400,-7.378
-336300,-7.348
-336200,-7.317
-336100,-7.286
-336000,-7.33
-335900,-7.392
-335800,-7.453
-335700,-7.515
-335600,-7.577
-335500,-7.636
-335400,-7.694
-335300,-7.753
-335200,-7.811
-335100,-7.87
-335000,-7.882
-334900,-7.894
-334800,-7.906
-334700,-7.918
-334600,-7.93
-334500,-7.932
-334400,-7.934
-334300,-7.936
-334200,-7.938
-334100,-7.94
-334000,-7.96
-333900,-7.98
-333800,-8,201
-333700,-8.02
-333600,-8.039
-333500,-8.003
-333400,-7.967
-333300,-7.93
-333200,-7.894
-333100,-7.853
-333000,-7.737
-332900,-7.621
-332800,-7.504
-332700,-7.388
-332600,-7.265
-332500,-7.119
-332400,-6.974
-332300,-6.828
-332200,-6.682
-332100,-6.547
-332000,-6.417
-331900,-6.287
-331800,-6.157
-331700,-6.042
-331600,-5.972
-331500,-5.901
-331400,-5.831
-331300,-5.76
-331200,-5.738
-331100,-5.717
-331000,-5.695
-330900,-5.674
-330800,-5.556
-330700,-5.418
-330600,-5.281
-330500,-5.143
-330400,-5.07
-330300,-5.016
-330200,-4.963
-330100,-4.91
-330000,-4.829
-329900,-4.741
-329800,-4.653
-329700,-4.565
-329600,-4.473
-329500,-4.379
-329400,-4.286
-329300,-4.184
-329200,-4.038
-329100,-3.892
-329000,-3.746
-328900,-3.638
-328800,-3.561
-328700,-3.485
-328600,-3.408
-328500,-3.297
-328400,-3.187
-328300,-3.076
-328200,-2.962
-328100,-2.846
-328000,-2.729
-327900,-2.633
-327800,-2.606
-327700,-2.578
-327600,-2.551
-327500,-2.508
-327400,-2.465
-327300,-2.422
-327200,-2.405
-327100,-2.399
-327000,-2.393
-326900,-2.28
-326800,-2.069
-326700,-1.859
-326600,-1.629
-326500,-1.37
-326400,-1.11
-326300,-0.854
-326200,-0.601
-326100,-0.349
-326000,-0.183
-325900,-0.072
-325800,0.038
-325700,0.264
-325600,0.504
-325500,0.779
-325400,1.144
-325300,1.51
-325200,1.639
-325100,1.702
-325000,1.783
-324900,1.894
-324800,2.006
-324700,2.154
-324600,2.302
-324500,2.442
-324400,2.58
-324300,2.697
-324200,2.792
-324100,2.857
-324000,2.848
-323900,2.848
-323800,2.917
-323700,2.987
-323600,3.057
-323500,3.127
-323400,3.117
-323300,3.089
-323200,3.08
-323100,3.08
-323000,3.107
-322900,3.155
-322800,3.182
-322700,3.187
-322600,3.124
-322500,2.949
-322400,2.824
-322300,2.838
-322200,2.837
-322100,2.743
-322000,2.65
-321900,2.433
-321800,2.217
-321700,1.987
-321600,1.755
-321500,1.557
-321400,1.383
-321300,1.245
-321200,1.194
-321100,1.143
-321000,0.838
-320900,0.52
-320800,0.274
-320700,0.086
-320600,-0.092
-320500,-0.128
-320400,-0.164
-320300,-0.167
-320200,-0.143
-320100,-0.118
-320000,-0.009
-319900,0.099
-319800,0.169
-319700,0.206
-319600,0.237
-319500,0.205
-319400,0.172
-319300,0.124
-319200,0.067
-319100,0.019
-319000,0.015
-318900,0.011
-318800,0.066
-318700,0.144
-318600,0.179
-318500,0.105
-318400,0.031
-318300,0.003
-318200,-0.018
-318100,-0.048
-318000,-0.094
-317900,-0.139
-317800,-0.25
-317700,-0.362
-317600,-0.414
-317500,-0.402
-317400,-0.389
-317300,-0.312
-317200,-0.235
-317100,-0.229
-317000,-0.282
-316900,-0.324
-316800,-0.262
-316700,-0.201
-316600,-0.18
-316500,-0.18
-316400,-0.212
-316300,-0.347
-316200,-0.482
-316100,-0.494
-316000,-0.473
-315900,-0.463
-315800,-0.471
-315700,-0.479
-315600,-0.538
-315500,-0.603
-315400,-0.697
-315300,-0.83
-315200,-0.962
-315100,-0.977
-315000,-0.985
-314900,-1.009
-314800,-1.053
-314700,-1.096
-314600,-1.18
-314500,-1.266
-314400,-1.326
-314300,-1.342
-314200,-1.357
-314100,-1.367
-314000,-1.374
-313900,-1.376
-313800,-1.36
-313700,-1.344
-313600,-1.418
-313500,-1.524
-313400,-1.623
-313300,-1.692
-313200,-1.762
-313100,-1.82
-313000,-1.87
-312900,-1.92
-312800,-2.058
-312700,-2.198
-312600,-2.298
-312500,-2.32
-312400,-2.343
-312300,-2.375
-312200,-2.412
-312100,-2.45
-312000,-2.365
-311900,-2.279
-311800,-2.233
-311700,-2.275
-311600,-2.317
-311500,-2.345
-311400,-2.368
-311300,-2.391
-311200,-2.447
-311100,-2.503
-311000,-2.571
-310900,-2.66
-310800,-2.75
-310700,-2.848
-310600,-2.95
-310500,-3.053
-310400,-3.147
-310300,-3.241
-310200,-3.324
-310100,-3.349
-310000,-3.374
-309900,-3.426
-309800,-3.532
-309700,-3.638
-309600,-3.715
-309500,-3.764
-309400,-3.813
-309300,-3.837
-309200,-3.847
-309100,-3.858
-309000,-3.884
-308900,-3.915
-308800,-3.947
-308700,-3.993
-308600,-4.042
-308500,-4.09
-308400,-4.199
-308300,-4.308
-308200,-4.416
-308100,-4.51
-308000,-4.604
-307900,-4.687
-307800,-4.65
-307700,-4.614
-307600,-4.584
-307500,-4.631
-307400,-4.677
-307300,-4.731
-307200,-4.853
-307100,-4.974
-307000,-5.091
-306900,-5.107
-306800,-5.123
-306700,-5.14
-306600,-5.266
-306500,-5.394
-306400,-5.522
-306300,-5.507
-306200,-5.469
-306100,-5.43
-306000,-5.354
-305900,-5.263
-305800,-5.173
-305700,-5.072
-305600,-4.966
-305500,-4.859
-305400,-4.712
-305300,-4.541
-305200,-4.37
-305100,-4.273
-305000,-4.206
-304900,-4.139
-304800,-4.053
-304700,-3.964
-304600,-3.871
-304500,-3.717
-304400,-3.563
-304300,-3.406
-304200,-3.244
-304100,-3.082
-304000,-2.99
-303900,-2.932
-303800,-2.859
-303700,-2.644
-303600,-2.43
-303500,-2.196
-303400,-1.948
-303300,-1.76
-303200,-1.886
-303100,-2.011
-303000,-2.116
-302900,-2.215
-302800,-2.403
-302700,-2.766
-302600,-3.128
-302500,-3.332
-302400,-3.503
-302300,-3.572
-302200,-3.232
-302100,-2.893
-302000,-2.701
-301900,-2.604
-301800,-2.561
-301700,-2.877
-301600,-3.194
-301500,-3.226
-301400,-3.069
-301300,-2.925
-301200,-3.024
-301100,-3.123
-301000,-3.129
-300900,-3.05
-300800,-2.971
-300700,-3.033
-300600,-3.096
-300500,-3.154
-300400,-3.205
-300300,-3.256
-300200,-3.194
-300100,-3.123
-300000,-3.097
-299900,-3.141
-299800,-3.185
-299700,-3.28
-299600,-3.382
-299500,-3.481
-299400,-3.574
-299300,-3.667
-299200,-3.79
-299100,-3.923
-299000,-4.03
-298900,-3.942
-298800,-3.855
-298700,-3.882
-298600,-4.03
-298500,-4.178
-298400,-4.288
-298300,-4.392
-298200,-4.485
-298100,-4.518
-298000,-4.551
-297900,-4.59
-297800,-4.638
-297700,-4.685
-297600,-4.75
-297500,-4.822
-297400,-4.895
-297300,-4.87
-297200,-4.837
-297100,-4.816
-297000,-4.856
-296900,-4.896
-296800,-4.937
-296700,-4.98
-296600,-5.024
-296500,-4.924
-296400,-4.737
-296300,-4.551
-296200,-4.543
-296100,-4.558
-296000,-4.597
-295900,-4.734
-295800,-4.87
-295700,-4.944
-295600,-4.951
-295500,-4.958
-295400,-5.006
-295300,-5.067
-295200,-5.129
-295100,-5.204
-295000,-5.279
-294900,-5.355
-294800,-5.433
-294700,-5.511
-294600,-5.624
-294500,-5.797
-294400,-5.97
-294300,-5.983
-294200,-5.824
-294100,-5.664
-294000,-5.544
-293900,-5.452
-293800,-5.359
-293700,-5.306
-293600,-5.262
-293500,-5.217
-293400,-5.046
-293300,-4.876
-293200,-4.624
-293100,-4.198
-293000,-3.772
-292900,-3.605
-292800,-3.519
-292700,-3.468
-292600,-3.493
-292500,-3.518
-292400,-3.741
-292300,-3.987
-292200,-4.21
-292100,-4.402
-292000,-4.593
-291900,-4.766
-291800,-4.936
-291700,-5.059
-291600,-5.006
-291500,-4.954
-291400,-4.871
-291300,-4.764
-291200,-4.657
-291100,-4.826
-291000,-5.016
-290900,-5.176
-290800,-5.265
-290700,-5.354
-290600,-5.522
-290500,-5.741
-290400,-5.961
-290300,-6,239
-290200,-6,239
-290100,-6,239
-290000,-5.841
-289900,-5.682
-289800,-5.569
-289700,-5.609
-289600,-5.65
-289500,-5.739
-289400,-5.879
-289300,-6.019
-289200,-6.17
-289100,-6.324
-289000,-6.478
-288900,-6.452
-288800,-6.397
-288700,-6.341
-288600,-6.151
-288500,-5.958
-288400,-5.792
-288300,-5.748
-288200,-5.704
-288100,-5.58
-288000,-5.358
-287900,-5.137
-287800,-5.147
-287700,-5.22
-287600,-5.302
-287500,-5.43
-287400,-5.557
-287300,-5.684
-287200,-5.809
-287100,-5.934
-287000,-6.014
-286900,-6.083
-286800,-6.15
-286700,-6.132
-286600,-6.114
-286500,-6.115
-286400,-6.177
-286300,-6.238
-286200,-6.292
-286100,-6.339
-286000,-6.385
-285900,-6.441
-285800,-6.501
-285700,-6.562
-285600,-6.695
-285500,-6.841
-285400,-6.987
-285300,-7.142
-285200,-7.298
-285100,-7.449
-285000,-7.399
-284900,-7.348
-284800,-7.3
-284700,-7.289
-284600,-7.279
-284500,-7.258
-284400,-7.106
-284300,-6.954
-284200,-6.773
-284100,-6.455
-284000,-6.137
-283900,-5.886
-283800,-5.731
-283700,-5.576
-283600,-5.543
-283500,-5.547
-283400,-5.528
-283300,-5.4
-283200,-5.271
-283100,-5.131
-283000,-4.983
-282900,-4.862
-282800,-4.983
-282700,-5.103
-282600,-5.274
-282500,-5.477
-282400,-5.676
-282300,-5.786
-282200,-5.897
-282100,-6.029
-282000,-6.189
-281900,-6.35
-281800,-6.42
-281700,-6.461
-281600,-6.497
-281500,-6.353
-281400,-6.208
-281300,-6.055
-281200,-5.882
-281100,-5.71
-281000,-5.559
-280900,-5.418
-280800,-5.326
-280700,-5.48
-280600,-5.635
-280500,-5.81
-280400,-5.998
-280300,-6.18
-280200,-6.176
-280100,-6.172
-280000,-6.069
-279900,-5.805
-279800,-5.54
-279700,-5.363
-279600,-5.205
-279500,-5.041
-279400,-4.863
-279300,-4.684
-279200,-4.58
-279100,-4.482
-279000,-4.438
-278900,-4.433
-278800,-4.431
-278700,-4.435
-278600,-4.44
-278500,-4.448
-278400,-4.457
-278300,-4.455
-278200,-4.446
-278100,-4.382
-278000,-4.188
-277900,-3.999
-277800,-3.977
-277700,-3.954
-277600,-3.826
-277500,-3.672
-277400,-3.531
-277300,-3.401
-277200,-3.26
-277100,-3.108
-277000,-2.987
-276900,-2.924
-276800,-2.948
-276700,-3.174
