Баранопедемия по состоянию на 2021_05_23

В Специальной Олимпиаде не участвуют:
Страна                                            	 Население(тыс)	Территория(км2)
  170	Congo                                             	       5686.917	          11476	            150	          26.38         68.44%
  171	Mozambique                                        	      32309.195	          70568	            831	          25.72         68.52%
  172	Ghana                                             	      30733.755	          93583	            783	          25.48         68.93%
  173	Mali                                              	      20284.180	          14236	            512	          25.24         69.32%
  174	Haiti                                             	      11371.185	          13735	            280	          24.62         69.58%
  175	Angola                                            	      32827.401	          32149	            715	          21.78         69.73%
  176	Uzbekistan                                        	      33235.825	          98451	            680	          20.46         70.15%
  177	Faroe Islands                                     	         49.896	            676	              1	          20.04         70.58%
  178	Central African Republic                          	       4920.889	           7010	             96	          19.51         70.58%
  179	Papua New Guinea                                  	       8755.675	          15187	            156	          17.82         70.64%
  180	Liberia                                           	       5103.853	           2142	             85	          16.65         70.75%
  181	Togo                                              	       8384.291	          13352	            125	          14.91         70.82%
  182	Mauritius                                         	       1274.114	           1322	             17	          13.34         70.93%
  183	Guinea                                            	      13750.826	          22988	            158	          11.49         70.94%
  184	Cote d'Ivoire                                     	      26171.750	          46942	            298	          11.39         71.12%
  185	Thailand                                          	      69410.868	         129500	            776	          11.18         71.46%
  186	Chad                                              	      16285.093	           4923	            173	          10.62         72.35%
  187	Cambodia                                          	      16715.508	          25205	            176	          10.53         72.56%
  188	Nigeria                                           	     206152.701	         165979	           2067	          10.03         72.77%
  189	Sierra Leone                                      	       8046.931	           4117	             79	           9.82         75.42%
  190	Tajikistan                                        	       9475.246	          13714	             91	           9.60         75.52%
  191	Grenada                                           	        109.308	            161	              1	           9.15         75.64%
  192	Democratic Republic of the Congo                  	      89505.201	          30863	            779	           8.70         75.64%
  193	South Sudan                                       	      13610.007	          10670	            115	           8.45         76.79%
  194	Benin                                             	      12122.985	           8025	            101	           8.33         76.96%
  195	Niger                                             	      24074.693	           5364	            192	           7.98         77.12%
  196	Timor-Leste                                       	       1381.400	           5481	             11	           7.96         77.43%
  197	Burkina Faso                                      	      20903.345	          13414	            165	           7.89         77.45%
  198	Uganda                                            	      47187.703	          43507	            350	           7.42         77.72%
  199	Brunei Darussalam                                 	        444.519	            236	              3	           6.75         78.32%
  200	Singapore                                         	       5638.700	          61799	             32	           5.68         78.33%
  201	New Zealand                                       	       4834.420	           2307	             26	           5.38         78.40%
  202	Fiji                                              	        924.915	            206	              4	           4.32         78.46%
  203	China                                             	    1456565.698	         106715	           4863	           3.34         78.47%
  204	Eritrea                                           	       5432.216	           3932	             14	           2.58         97.16%
  205	Bhutan                                            	        835.245	           1392	              1	           1.20         97.23%
  206	Burundi                                           	      11939.227	           4494	              6	           0.50         97.24%
  207	Viet Nam                                          	      98360.145	           5119	             41	           0.42         97.40%
  208	United Republic of Tanzania                       	      62774.619	            509	             21	           0.33         98.66%
  209	Lao People's Democratic Republic                  	       7164.822	           1782	              2	           0.28         99.46%
  210	Anguilla                                          	         15.283	            109	              0	           0.00         99.56%
  211	Dem. People's Republic of Korea                   	      25840.863	              0	              0	           0.00         99.56%
  212	Dominica                                          	         75.052	            184	              0	           0.00         99.89%
  213	Falkland Islands (Malvinas)                       	          2.925	             63	              0	           0.00         99.89%
  214	Greenland                                         	         56.772	             34	              0	           0.00         99.89%
  215	Holy See                                          	          0.801	             26	              0	           0.00         99.89%
  216	Kiribati                                          	        122.439	              0	              0	           0.00         99.89%
  217	Marshall Islands                                  	         53.251	              4	              0	           0.00         99.89%
  218	Micronesia (Fed. States of)                       	        107.774	              1	              0	           0.00         99.89%
  219	Nauru                                             	         11.227	              0	              0	           0.00         99.89%
  220	New Caledonia                                     	        286.913	            125	              0	           0.00         99.89%
  221	Palau                                             	         22.442	              0	              0	           0.00         99.90%
  222	Saint Helena                                      	          4.126	              0	              0	           0.00         99.90%
  223	Saint Kitts and Nevis                             	         56.813	             46	              0	           0.00         99.90%
  224	Saint Pierre and Miquelon                         	          6.407	             25	              0	           0.00         99.90%
  225	Samoa                                             	        200.117	              1	              0	           0.00         99.90%
  226	Solomon Islands                                   	        647.297	             20	              0	           0.00         99.90%
  227	Tokelau                                           	          1.357	              0	              0	           0.00         99.91%
  228	Tonga                                             	        104.494	              0	              0	           0.00         99.91%
  229	Turkmenistan                                      	       6031.195	              0	              0	           0.00         99.91%
  230	Tuvalu                                            	         11.499	              0	              0	           0.00         99.99%
  231	Vanuatu                                           	        293.934	              3	              0	           0.00         99.99%
  232	Western Sahara                                    	        597.339	              0	              0	           0.00         99.99%
     	TOTAL:                                            	    7793055.708	      166351984	        3449189	         442.60        100.00%
