#
# GIK23258-2
# 56	GIK23258-2	Foram transfer function	±1.5 C uncertainty	75	14	-1768	40	Winter and Summer*	Sarnthein et al., 2003 (51)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
252	6.4	10101	4.77	10347.5	98.16	3.14
253	6.92	10123	5.37	10367.96	111.38	3.81
254	6.59	10145	5.01	10388.37	122.88	3.43
255	6.67	10167	5.1	10408.74	133.1	3.52
256	6.82	10189	5.28	10429.08	142.31	3.73
257	5.88	10211	4.28	10449.39	150.69	2.68
258	6.81	10233	5.26	10469.69	158.39	3.7
259	6.82	10255	5.24	10489.97	165.48	3.65
260	6.1	10278	4.56	10510.23	172.05	3.01
261	5.72	10300	4.19	10530.49	178.15	2.65
262	6.17	10322	4.58	10550.73	183.83	2.98
263	6.18	10344	4.57	10570.97	189.13	2.96
264	5.47	10366	4.03	10591.2	194.08	2.58
265	6.25	10388	4.62	10611.42	198.69	2.98
266	7.1	10410	5.52	10631.63	203.01	3.94
267	6.88	10432	5.32	10651.83	207.03	3.75
268	6.46	10454	4.9	10672.03	210.79	3.34
269	7.37	10476	5.82	10692.22	214.29	4.27
270	6.86	10498	5.27	10712.41	217.55	3.67
271	5.11	10520	3.66	10732.59	220.57	2.21
272	6.71	10542	5.14	10752.76	223.38	3.57
273	6.85	10564	5.3	10772.93	225.96	3.74
274	6.96	10586	5.39	10793.1	228.34	3.81
275	6.78	10608	5.19	10813.26	230.51	3.6
276	7.17	10630	5.61	10833.42	232.49	4.05
277	6.48	10652	4.85	10853.57	234.28	3.22
278	4.83	10674	3.4	10873.71	235.88	1.96
279	5.94	10696	4.32	10893.85	237.29	2.7
280	7.14	10718	5.57	10913.99	238.53	4
281	6.56	10740	4.98	10934.12	239.58	3.39
282	4.79	10762	3.3	10954.25	240.46	1.8
283	4.5	10784	3.13	10974.38	241.17	1.76
284	4.37	10807	3.04	10994.5	241.7	1.7
285	6.14	10829	4.56	11014.61	242.06	2.97
286	5.21	10851	3.75	11034.72	242.26	2.29
287	5.23	10873	3.73	11054.83	242.27	2.23
288	5.89	10895	4.36	11074.93	242.12	2.82
289	6.28	10917	4.7	11095.03	241.8	3.12
290	4.77	10939	3.4	11115.12	241.3	2.03
291	3.53	10961	2.31	11135.21	240.63	1.08
292	3.59	10983	2.33	11155.29	239.79	1.07
293	3.25	11005	2.03	11175.37	238.76	0.8
294	3.81	11027	2.55	11195.44	237.56	1.29
295	4.21	11049	2.92	11215.51	236.17	1.62
296	4.39	11071	3.03	11235.57	234.6	1.66
297	2.21	11093	1.17	11255.62	232.84	0.13
300	2.16	11159	1.12	11315.75	226.35	0.08
305	2.93	11270	1.82	11415.81	211.11	0.7
310	2.72	11380	1.61	11515.56	189	0.49
315	2.48	11490	1.42	11613.7	155.68	0.35
320	1.65	11600	0.67	11848.41	225.24	-0.31
325	2.01	11876	0.99	12080.97	261.14	-0.03
330	3.02	12151	1.89	12313.04	278.41	0.75
335	2.24	12427	1.2	12544.78	280.78	0.16
345	2.26	12979	1.21	13007.34	240.53	0.16
355	2.28	13530	1.24	13466.44	81.19	0.19
375	2.29	13725	1.25	13669.74	133.55	0.2
394	2.2	13911	1.16	13857.43	78.41	0.12
