#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
844,1.024E+00
846,1.028E+00
848,1.023E+00
850,9.660E-01
852,9.961E-01
854,8.780E-01
856,9.755E-01
858,1.005E+00
860,9.969E-01
862,9.949E-01
864,9.993E-01
866,8.862E-01
868,9.395E-01
870,9.747E-01
872,9.833E-01
874,9.713E-01
876,9.640E-01
878,9.749E-01
880,9.554E-01
882,9.511E-01
884,9.579E-01
886,9.383E-01
888,9.443E-01
890,9.530E-01
892,9.394E-01
894,9.332E-01
896,9.387E-01
898,9.339E-01
900,9.158E-01
902,8.916E-01
904,9.285E-01
906,9.176E-01
908,9.025E-01
910,8.916E-01
912,8.967E-01
914,9.071E-01
916,9.004E-01
918,8.951E-01
920,8.908E-01
922,8.630E-01
924,8.585E-01
926,8.612E-01
928,8.769E-01
930,8.677E-01
932,8.651E-01
934,8.641E-01
936,8.547E-01
938,8.580E-01
940,8.438E-01
942,8.250E-01
944,8.324E-01
946,8.375E-01
948,8.407E-01
950,8.369E-01
952,8.317E-01
954,8.080E-01
956,8.082E-01
958,8.188E-01
960,8.151E-01
962,8.089E-01
964,8.013E-01
966,7.947E-01
968,7.969E-01
970,7.959E-01
972,7.936E-01
974,7.815E-01
976,7.825E-01
978,7.779E-01
980,7.746E-01
982,7.764E-01
984,7.698E-01
986,7.661E-01
988,7.615E-01
990,7.541E-01
992,7.567E-01
994,7.556E-01
996,7.525E-01
998,7.510E-01
1000,7.479E-01
1002,7.469E-01
1004,7.261E-01
1006,7.136E-01
1008,7.335E-01
1010,7.313E-01
1012,7.262E-01
1014,7.210E-01
1016,7.139E-01
1018,7.107E-01
1020,7.041E-01
1022,7.021E-01
1024,7.054E-01
1026,7.027E-01
1028,6.989E-01
1030,6.937E-01
1032,6.905E-01
1034,6.817E-01
1036,6.840E-01
1038,6.772E-01
1040,6.761E-01
1042,6.746E-01
1044,6.714E-01
1046,6.600E-01
1048,6.644E-01
1050,6.622E-01
1052,6.586E-01
1054,6.549E-01
1056,6.557E-01
1058,6.451E-01
1060,6.415E-01
1062,6.438E-01
1064,6.459E-01
1066,6.395E-01
1068,6.317E-01
1070,6.241E-01
1072,6.326E-01
1074,6.276E-01
1076,6.280E-01
1078,6.272E-01
1080,6.247E-01
1082,6.099E-01
1084,6.180E-01
1086,6.208E-01
1088,6.103E-01
1090,6.199E-01
1092,6.159E-01
1094,5.849E-01
1096,5.983E-01
1098,5.961E-01
1100,6.042E-01
1102,5.932E-01
1104,5.974E-01
1106,5.945E-01
1108,5.916E-01
1110,5.906E-01
1112,5.843E-01
1114,5.844E-01
1116,5.831E-01
1118,5.815E-01
1120,5.741E-01
1122,5.796E-01
1124,5.769E-01
1126,5.655E-01
1128,5.700E-01
1130,5.653E-01
1132,5.678E-01
1134,5.638E-01
1136,5.658E-01
1138,5.569E-01
1140,5.530E-01
1142,5.531E-01
1144,5.514E-01
1146,5.548E-01
1148,5.525E-01
1150,5.489E-01
1152,5.458E-01
1154,5.479E-01
1156,5.455E-01
1158,5.435E-01
1160,5.320E-01
1162,5.325E-01
1164,5.332E-01
1166,5.303E-01
